id,ha,variety,sdate,hdate,yield21,lat,lon,field_area,perimeter,ratio,prediction,HIGH,LOW,clay_mean,sand_mean,silt_mean,occont_mean,var_code,len_season,peak_ndvi,trapezoidal_ndvi_sow2harvest,ndwi_sowingday
80,1.8,ARMONIA,2021-04-04,2021-09-27,2400.0,38.523235849616974,22.95943545947472,18165.26088245597,563.2320153506723,0.0310059965004214,0.0,25.4,10.8,39.3233184814453,15.1518783569336,45.5248031616211,18.3840198516846,0.0,176.0,0.7699999809265137,77.78242470473052,-0.3248571370329176
228,0.2,ST 402,2021-04-10,2021-09-27,3200.0,38.5315556679931,22.961721313875653,2063.8898926756247,240.5569376935026,0.1165551217374512,0.0,18.3,-0.9,33.8784484863281,21.5062103271484,44.6153411865234,12.6302289962769,11.0,170.0,0.8579999804496765,87.67015028276614,-0.3301142794745308
233,0.55,ST 402,2021-04-10,2021-09-27,2800.0,38.532873197004704,22.961702729136395,5531.405407478931,309.9823595039521,0.0560404339708728,0.0,18.3,-0.9,33.8784484863281,21.5062103271484,44.6153411865234,12.6302289962769,11.0,170.0,0.8949999809265137,84.5345712542534,-0.3497142953532082
230,0.55,ST 402,2021-04-10,2021-09-27,2880.0,38.53040587106413,22.96187739156893,5601.051970827395,304.2499684126391,0.0543201473575498,0.0,18.3,-0.9,36.4885292053223,18.5637588500977,44.9477119445801,12.3985185623169,11.0,170.0,0.8949999809265137,92.05798615451369,-0.3195142873695918
3,2.48,FIDEL,2021-04-11,2021-09-29,3060.0,38.517361922118816,22.994159510469554,25073.825896640778,646.8513049227912,0.0257978701610691,0.0,20.2,2.0,35.8037242429986,16.0691500146832,48.1271257423182,13.7760847259979,6.0,171.0,0.8529999852180481,79.35313516847872,-0.2868571400642395
6,1.61,FIDEL,2021-04-11,2021-09-28,4150.0,38.493920454614695,22.94288714202245,16202.693023941543,524.434556579736,0.0323671229100506,0.0,20.2,2.0,49.7375679016113,4.55631256103516,45.7061195373535,11.7056274414062,6.0,170.0,0.8949999809265137,84.01044457576106,-0.3184571504592895
39,2.47,FIDEL,2021-04-11,2021-10-07,2150.0,38.51384779893036,22.996561895492203,24937.45899565485,646.8002924177539,0.0259368964789256,0.0,20.2,2.0,33.7399749755859,16.2475738525391,50.012451171875,14.5117807388306,6.0,179.0,0.8050000071525574,81.00930816451618,-0.3251714272158486
35,2.0,FIDEL,2021-04-12,2021-09-27,2900.0,38.4714450144349,22.973105149601565,20223.19122664032,622.0850468875572,0.0307609733753629,0.0,23.7,4.2,47.2890234597318,7.17433838053649,45.5366381597318,11.2336493759262,6.0,168.0,0.7670000195503235,77.92626412574734,-0.3799428539616721
37,0.93,FIDEL,2021-04-12,2021-10-07,3600.0,38.5099554973526,22.96793253872203,9451.567278662827,452.8293573512725,0.0479105045756323,0.0,23.7,4.2,49.8656959533691,3.56047058105469,46.5738334655762,13.326696395874,6.0,178.0,0.8529999852180481,88.70428383455558,-0.3378857118742806
99,0.89,FIDEL,2021-04-12,2021-09-27,2800.0,38.473850720310615,22.96854930368379,8840.640404912447,493.2415028539421,0.0557925082644312,0.0,23.7,4.2,42.149653636633,12.4492316568918,45.4011147064752,11.507213640545,6.0,168.0,0.8899999856948853,92.50729347647548,-0.2909142902919224
185,1.73,FIDEL,2021-04-12,2021-09-17,2820.0,38.47898107717698,23.03158572637101,17468.10228693392,565.0988882569018,0.0323503308473063,0.0,23.7,4.2,38.236743927002,13.2216491699219,48.5416069030762,14.3974084854126,6.0,158.0,0.8600000143051147,78.9981707246618,-0.3052857145241329
191,1.0,FIDEL,2021-04-12,2021-09-19,3500.0,38.50053033483445,22.99408373118042,10199.24474495714,420.0226363164603,0.0411817391208436,0.0,23.7,4.2,26.9641227722168,20.2581634521484,52.7777137756348,18.6990165710449,6.0,160.0,0.7860000133514404,72.94601125163692,-0.3303142734936306
34,2.65,FIDEL,2021-04-12,2021-09-27,3000.0,38.471680716721,22.97860247927725,26759.774672009848,683.3932858812169,0.0255380807296569,0.0,23.7,4.2,47.3396687732528,7.09817958516179,45.5621516415854,11.3123618283443,6.0,168.0,0.8100000023841858,86.21016138004406,-0.294857154573713
1,6.93,FIDEL,2021-04-12,2021-09-21,4260.0,38.47450242634707,22.9859330816066,69961.00782606228,1067.2204184189766,0.0152545032094493,0.0,23.7,4.2,34.9993331508708,20.7618661428996,44.2388007062296,12.5724102858391,6.0,162.0,0.8619999885559082,79.1802998960018,-0.3043428472110203
268,0.97,ELPIDA,2021-04-12,2021-09-12,2400.0,38.5070786219735,22.95362190928121,9799.790933166332,401.2527286818437,0.0409450294826032,0.0,23.7,4.2,36.8248481750488,12.6103515625,50.5648002624512,25.6752166748047,4.0,153.0,0.8159999847412109,74.32127832566316,-0.3419428501810346
33,1.36,FIDEL,2021-04-13,2021-09-26,2200.0,38.49021916448193,23.00725148499509,13719.595534459611,476.4202359604431,0.0347255307026956,1.0,24.2,9.7,35.7746316590818,9.6912332802967,54.5341350606214,12.7485106143945,6.0,166.0,0.7929999828338623,80.11729956120253,-0.3400000035762787
190,1.66,ARMONIA,2021-04-14,2021-09-23,3200.0,38.513497828523626,22.99010299550809,16759.138682058834,570.6646184345618,0.0340509514994034,0.0,22.2,7.7,31.6236280553167,21.0890004694683,47.2873722809014,13.4297748556648,0.0,162.0,0.7009999752044678,66.22089509785175,-0.3170800113677978
